epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
78,376.397,0.34822,0.36025,0.8779,0.99194,1,0.9947,0.94946,0.30384,0.3647,0.64031,0.0007459,0.0007459,0.0007459
79,381.245,0.32806,0.34736,0.87706,0.99116,1,0.99463,0.95357,0.28567,0.33933,0.63822,0.0007426,0.0007426,0.0007426
80,386.051,0.33404,0.35404,0.87079,0.99151,1,0.99456,0.95811,0.27881,0.33801,0.63937,0.0007393,0.0007393,0.0007393
81,390.836,0.33651,0.34974,0.88318,0.99123,1,0.99433,0.9522,0.30395,0.35805,0.64373,0.000736,0.000736,0.000736
82,395.658,0.33301,0.355,0.88739,0.99331,1,0.995,0.96117,0.28751,0.33941,0.63753,0.0007327,0.0007327,0.0007327
83,400.474,0.35112,0.3538,0.88168,0.99515,1,0.995,0.9585,0.28118,0.33412,0.63665,0.0007294,0.0007294,0.0007294
84,405.264,0.34135,0.35077,0.88581,0.99145,1,0.99419,0.96094,0.2729,0.34006,0.63621,0.0007261,0.0007261,0.0007261
85,410.071,0.32384,0.33771,0.86963,0.99136,1,0.99441,0.96478,0.2751,0.33494,0.63988,0.0007228,0.0007228,0.0007228
86,414.881,0.33456,0.33794,0.87534,0.99219,1,0.995,0.95058,0.30781,0.34102,0.64257,0.0007195,0.0007195,0.0007195
87,419.763,0.32644,0.34237,0.8764,0.99154,1,0.9947,0.95746,0.2874,0.33773,0.64026,0.0007162,0.0007162,0.0007162
88,424.582,0.33273,0.3418,0.87424,0.99143,1,0.9947,0.96043,0.27548,0.34171,0.63665,0.0007129,0.0007129,0.0007129
89,429.352,0.34274,0.35412,0.88788,0.99184,1,0.99374,0.95776,0.29197,0.34519,0.6426,0.0007096,0.0007096,0.0007096
90,434.152,0.34354,0.35167,0.88433,0.99161,1,0.99433,0.96357,0.27647,0.34736,0.64082,0.0007063,0.0007063,0.0007063
91,438.938,0.32828,0.3376,0.87815,0.99153,1,0.995,0.96387,0.26749,0.35039,0.64013,0.000703,0.000703,0.000703
92,443.756,0.32718,0.33561,0.87954,0.99144,1,0.99478,0.95886,0.28152,0.33913,0.63799,0.0006997,0.0006997,0.0006997
93,448.54,0.32506,0.32915,0.87707,0.99143,1,0.99478,0.96784,0.25129,0.33658,0.63394,0.0006964,0.0006964,0.0006964
94,453.357,0.31782,0.33752,0.8729,0.9916,1,0.99448,0.96005,0.26861,0.33429,0.63764,0.0006931,0.0006931,0.0006931
95,458.198,0.33182,0.33454,0.87077,0.99164,1,0.99367,0.96404,0.26504,0.32578,0.63862,0.0006898,0.0006898,0.0006898
96,463.064,0.32558,0.32768,0.87892,0.99117,1,0.9927,0.96011,0.27164,0.339,0.63908,0.0006865,0.0006865,0.0006865
97,467.865,0.31631,0.32891,0.87418,0.99101,1,0.99293,0.9549,0.27592,0.3463,0.63758,0.0006832,0.0006832,0.0006832
98,472.653,0.32466,0.32227,0.87349,0.99165,1,0.995,0.94978,0.29199,0.3247,0.63742,0.0006799,0.0006799,0.0006799
99,477.443,0.32097,0.3287,0.87191,0.99478,1,0.995,0.95976,0.28416,0.32704,0.63501,0.0006766,0.0006766,0.0006766
100,482.244,0.31682,0.33067,0.87618,0.99201,1,0.995,0.95995,0.28284,0.33713,0.63728,0.0006733,0.0006733,0.0006733
101,487.024,0.31743,0.32409,0.87636,0.99534,1,0.995,0.9542,0.30287,0.33856,0.64009,0.00067,0.00067,0.00067
102,491.825,0.32496,0.32974,0.87838,0.99275,1,0.995,0.95602,0.28329,0.32373,0.63749,0.0006667,0.0006667,0.0006667
103,496.636,0.32925,0.32919,0.86839,0.99216,1,0.995,0.9571,0.29009,0.31711,0.63678,0.0006634,0.0006634,0.0006634
104,501.517,0.32866,0.33509,0.88073,0.99856,1,0.995,0.96031,0.2745,0.30346,0.6373,0.0006601,0.0006601,0.0006601
